datetime,packet_count_sum,total_bytes_sum
2025-09-02 18:15:50,28583,1241964
2025-09-02 18:16:00,26417,1188048
2025-09-02 18:16:10,22051,963000
2025-09-02 18:16:20,19878,857560
2025-09-02 18:16:30,17357,751872
2025-09-02 18:16:40,13965,586348
2025-09-02 18:16:50,8353,349208
2025-09-02 18:17:00,1772587,72553928
2025-09-02 18:17:10,746941,32766320
2025-09-02 18:17:20,350230,15752300
2025-09-02 18:17:30,227949,10085188
2025-09-02 18:17:40,144049,6453604
2025-09-02 18:17:50,119061,5288504
2025-09-02 18:18:00,99954,4538968
2025-09-02 18:18:10,79619,3593720
2025-09-02 18:18:20,79083,3542688
2025-09-02 18:18:30,76187,3450332
2025-09-02 18:18:40,64891,2898348
2025-09-02 18:18:50,63320,2835820
2025-09-02 18:19:00,73473,3182732
2025-09-02 18:19:10,51905,2303280
2025-09-02 18:19:20,47989,2155860
2025-09-02 18:19:30,50699,2265960
2025-09-02 18:19:40,42773,1902272
2025-09-02 18:19:50,38759,1715340
2025-09-02 18:20:00,39887,1776304
2025-09-02 18:20:10,92637,4260192
2025-09-02 18:20:20,85560,3928188
2025-09-02 18:20:30,71643,3274704
2025-09-02 18:20:40,52755,2351992
2025-09-02 18:20:50,46346,2087480
2025-09-02 18:21:00,40420,1808364
2025-09-02 18:21:10,39712,1776008
2025-09-02 18:21:20,36973,1646968
2025-09-02 18:21:30,36661,1639772
2025-09-02 18:21:40,38127,1702508
2025-09-02 18:21:50,33617,1498804
2025-09-02 18:22:00,33644,1479116
2025-09-02 18:22:10,32146,1392816
2025-09-02 18:22:20,31192,1392372
2025-09-02 18:22:30,25785,1137392
2025-09-02 18:22:40,26005,1136580
2025-09-02 18:22:50,23638,1033384
2025-09-02 18:23:00,22529,981836
2025-09-02 18:23:10,19937,862888
2025-09-02 18:23:20,17151,728472
2025-09-02 18:23:30,14126,592356
2025-09-02 18:23:40,10040,421964
2025-09-02 18:23:50,1586243,64386908
2025-09-02 18:24:00,894723,39047380
2025-09-02 18:24:10,421974,19127744
2025-09-02 18:24:20,232860,10466040
2025-09-02 18:24:30,154294,6864180
2025-09-02 18:24:40,120450,5387540
2025-09-02 18:24:50,97568,4313544
2025-09-02 18:25:00,87226,3957228
2025-09-02 18:25:10,81944,3645936
2025-09-02 18:25:20,72421,3258992
2025-09-02 18:25:30,71401,3209268
2025-09-02 18:25:40,61774,2771776
2025-09-02 18:25:50,58573,2611864
2025-09-02 18:26:00,57083,2526444
2025-09-02 18:26:10,55805,2503784
2025-09-02 18:26:20,54317,2428428
2025-09-02 18:26:30,56888,2581688
2025-09-02 18:26:40,49533,2218000
2025-09-02 18:26:50,51193,2265452
2025-09-02 18:27:00,49530,2193168
2025-09-02 18:27:10,49153,2204696
2025-09-02 18:27:20,40097,1790284
2025-09-02 18:27:30,42980,1936892
2025-09-02 18:27:40,44494,1991896
2025-09-02 18:27:50,45977,2092408
2025-09-02 18:28:00,41560,1849984
2025-09-02 18:28:10,40890,1823700
2025-09-02 18:28:20,35225,1552464
2025-09-02 18:28:30,38056,1688144
2025-09-02 18:28:40,36468,1625776
2025-09-02 18:28:50,33747,1503284
2025-09-02 18:29:00,32914,1449264
2025-09-02 18:29:10,30579,1346252
2025-09-02 18:29:20,29884,1315288
2025-09-02 18:29:30,24543,1056532
2025-09-02 18:29:40,24271,1038112
2025-09-02 18:29:50,24796,1070892
2025-09-02 18:30:00,20467,877868
2025-09-02 18:30:10,18121,758200
2025-09-02 18:30:20,14050,586864
2025-09-02 18:30:30,15463,658448
2025-09-02 18:30:40,983271,41550996
2025-09-02 18:30:50,1376073,57221368
2025-09-02 18:31:00,478975,21460380
2025-09-02 18:31:10,260231,11653332
2025-09-02 18:31:20,168457,7466740
2025-09-02 18:31:30,128880,5761528
2025-09-02 18:31:40,95564,4267764
2025-09-02 18:31:50,94032,4253888
2025-09-02 18:32:00,87015,3965472
2025-09-02 18:32:10,70565,3169968
2025-09-02 18:32:20,76635,3495412
2025-09-02 18:32:30,64655,2896432
2025-09-02 18:32:40,61961,2826672
2025-09-02 18:32:50,61962,2809332
2025-09-02 18:33:00,55649,2524208
2025-09-02 18:33:10,57073,2627804
2025-09-02 18:33:20,48679,2172256
2025-09-02 18:33:30,53435,2444380
2025-09-02 18:33:40,53979,2470504
2025-09-02 18:33:50,49665,2271260
2025-09-02 18:34:00,44931,2017276
2025-09-02 18:34:10,41752,1894712
2025-09-02 18:34:20,40814,1839964
